"IndividualId","Time [min]","Organism|A|Concentration [µmol/l]"
12,615,2.351033
12,630,2.368598
12,645,2.385687
12,660,2.402313
12,675,2.418493
12,690,2.434233
12,705,2.449544
12,720,2.464443
12,735,2.47894
12,750,2.493044
12,765,2.506764
12,780,2.520114
12,795,2.533104
12,810,2.545742
12,825,2.558036
12,840,2.569998
12,855,2.581638
12,870,2.592962
12,885,2.603978
12,900,2.614696
12,915,2.625127
12,930,2.635273
12,945,2.645144
12,960,2.654748
12,975,2.664094
12,990,2.673186
12,1005,2.682031
12,1020,2.690637
12,1035,2.699012
12,1050,2.707159
12,1065,2.715084
12,1080,2.722795
12,1095,2.730299
12,1110,2.737599
12,1125,2.744701
12,1140,2.751611
12,1155,2.758335
12,1170,2.764876
12,1185,2.771239
12,1200,2.777431
12,1215,2.783456
12,1230,2.789317
12,1245,2.795019
12,1260,2.800566
12,1275,2.805965
12,1290,2.811217
12,1305,2.816326
12,1320,2.821298
12,1335,2.826135
12,1350,2.830841
12,1365,2.835419
12,1380,2.839874
12,1395,2.844208
12,1410,2.848425
12,1425,2.852527
12,1440,2.856519
13,0,2
13,15,2.081505
13,30,2.160935
13,45,2.238239
13,60,2.313474
13,75,2.386653
13,90,2.45787
13,105,2.527125
13,120,2.594523
13,135,2.660059
13,150,2.723837
13,165,2.785851
13,180,2.8462
13,195,2.904886
13,210,2.962028
13,225,3.0176
13,240,3.071621
13,255,3.124165
13,270,3.17529
13,285,3.225005
13,300,3.273342
13,315,3.320359
13,330,3.366091
13,345,3.410571
13,360,3.453838
13,375,3.495915
13,390,3.536846
13,405,3.576666
13,420,3.615404
13,435,3.653077
13,450,3.689727
13,465,3.725385
13,480,3.760072
13,495,3.79381
13,510,3.826632
13,525,3.858568
13,540,3.889632
13,555,3.919851
13,570,3.949249
13,585,3.977848
13,600,4.005671
13,615,4.032737
13,630,4.059068
13,645,4.084682
13,660,4.109601
13,675,4.133841
13,690,4.157422
13,705,4.18036
13,720,4.202675
13,735,4.224382
13,750,4.245499
13,765,4.266039
13,780,4.286021
13,795,4.305459
13,810,4.324367
13,825,4.34276
13,840,4.360652
13,855,4.378058
13,870,4.394989
13,885,4.41146
13,900,4.427482
13,915,4.443068
13,930,4.45823
13,945,4.472979
13,960,4.487326
13,975,4.501283
13,990,4.51486
13,1005,4.528067
13,1020,4.540915
13,1035,4.553413
13,1050,4.565571
13,1065,4.577398
13,1080,4.588903
13,1095,4.600094
13,1110,4.610981
13,1125,4.621572
13,1140,4.631875
13,1155,4.641896
13,1170,4.651645
13,1185,4.661129
13,1200,4.670354
13,1215,4.679328
13,1230,4.688058
13,1245,4.69655
13,1260,4.704812
13,1275,4.712848
13,1290,4.720665
13,1305,4.72827
13,1320,4.735667
13,1335,4.742864
13,1350,4.749864
13,1365,4.756673
13,1380,4.763298
13,1395,4.769742
13,1410,4.77601
13,1425,4.782108
13,1440,4.78804
14,0,3
14,15,3.109245
14,30,3.215699
14,45,3.319289
14,60,3.420106
14,75,3.518135
14,90,3.613552
14,105,3.706293
14,120,3.796572
14,135,3.884312
14,150,3.969711
14,165,4.052721
14,180,4.133495
14,195,4.212028
14,210,4.28844
14,225,4.362792
14,240,4.435076
14,255,4.505319
14,270,4.57368
14,285,4.640151
14,300,4.704776
14,315,4.767608
14,330,4.828718
14,345,4.888145
14,360,4.945942
14,375,5.00215
14,390,5.056808
14,405,5.109971
14,420,5.161686
14,435,5.211979
14,450,5.26089
14,465,5.308467
14,480,5.354753
14,495,5.399759
14,510,5.443534
14,525,5.486118
14,540,5.527544
14,555,5.56783
14,570,5.607016
14,585,5.645132
14,600,5.682208
14,615,5.718271
14,630,5.753348
14,645,5.787466
14,660,5.820652
14,675,5.852931
14,690,5.884326
14,705,5.914863
14,720,5.944563
14,735,5.973452
14,750,6.001549
14,765,6.028877
14,780,6.055457
14,795,6.08131
14,810,6.106454
14,825,6.130911
14,840,6.154697
14,855,6.177833
14,870,6.200336
14,885,6.222222
14,900,6.243509
14,915,6.264214
14,930,6.284352
14,945,6.303939
14,960,6.322989
14,975,6.341519
14,990,6.359541
14,1005,6.377071
14,1020,6.39412
14,1035,6.410703
14,1050,6.426832
14,1065,6.44252
14,1080,6.457778
14,1095,6.472618
14,1110,6.487053
14,1125,6.501092
14,1140,6.514747
14,1155,6.528028
14,1170,6.540946
14,1185,6.55351
14,1200,6.565731
14,1215,6.577617
14,1230,6.589177
14,1245,6.600421
14,1260,6.611358
14,1275,6.621994
14,1290,6.632341
14,1305,6.642404
14,1320,6.652191
14,1335,6.66171
14,1350,6.670969
14,1365,6.679975
14,1380,6.688734
14,1395,6.697253
14,1410,6.705539
14,1425,6.713598
14,1440,6.721437
15,0,1
15,15,1.055048
15,30,1.108612
15,45,1.160682
15,60,1.21137
15,75,1.260629
15,90,1.30856
15,105,1.355162
15,120,1.400474
15,135,1.444557
15,150,1.487386
15,165,1.529046
15,180,1.569537
15,195,1.608905
15,210,1.647184
15,225,1.684406
15,240,1.720599
15,255,1.755798
15,270,1.790018
15,285,1.823293
15,300,1.855655
15,315,1.887134
15,330,1.917735
15,345,1.947493
15,360,1.976437
15,375,2.004592
15,390,2.031965
15,405,2.058583
15,420,2.084473
15,435,2.109657
15,450,2.134142
15,465,2.157952
15,480,2.181111
15,495,2.203637
15,510,2.225538
15,525,2.246836
15,540,2.267551
15,555,2.2877
15,570,2.307289
15,585,2.326339
15,600,2.344867
